P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
8	0	0	0	-0.79	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.74	1
8	0	1	1	+0.86	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
8	0	2	0	-0.18	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.70	1
8	0	3	0	-0.88	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.50	1
8	0	4	1	+0.58	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.41	1
8	0	5	0	-0.17	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.00	1
8	0	6	1	+0.39	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.59	1
8	0	7	1	+0.50	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
8	0	8	1	+0.71	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.54	1
8	0	9	1	+0.46	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
8	0	10	0	-0.79	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.54	1
8	0	11	1	+0.62	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
8	0	12	0	-0.01	NaN	NaN	NaN	NaN	NaN	NaN	1	+3.32	0
8	0	13	0	-0.29	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.70	1
8	0	14	1	+0.93	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.52	1
8	0	15	1	+0.32	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
8	0	16	0	-0.51	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.59	1
8	0	17	0	-0.38	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.61	1
8	0	18	1	+0.10	NaN	NaN	NaN	NaN	NaN	NaN	1	+2.04	1
8	0	19	1	+0.38	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.77	1
8	0	20	1	+0.46	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.80	1
8	0	21	0	-0.01	NaN	NaN	NaN	NaN	NaN	NaN	0	+4.12	1
8	0	22	0	-0.25	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.75	1
8	0	23	1	+0.73	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
8	0	24	1	+0.81	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.53	1
8	0	25	0	-0.18	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.87	1
8	0	26	0	-0.44	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.49	1
8	0	27	0	-0.13	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.51	1
8	0	28	0	-0.28	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.71	1
8	0	29	0	-0.04	NaN	NaN	NaN	NaN	NaN	NaN	0	+3.79	1
8	1	0	0	-0.32	NaN	NaN	NaN	NaN	NaN	NaN	0	+1.04	1
8	1	1	0	-0.04	NaN	NaN	NaN	NaN	NaN	NaN	0	+2.75	1
8	1	2	1	+0.54	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.60	1
8	1	3	1	+0.17	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.69	1
8	1	4	1	+0.52	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.61	1
8	1	5	1	+0.38	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.60	1
8	1	6	0	-0.31	NaN	NaN	NaN	NaN	NaN	NaN	0	+0.68	1
8	1	7	1	+0.05	NaN	NaN	NaN	NaN	NaN	NaN	1	+1.47	1
8	1	8	1	+0.82	NaN	NaN	NaN	NaN	NaN	NaN	1	+0.66	1
8	1	9	1	+0.04	NaN	NaN	NaN	NaN	NaN	NaN	1	+3.04	1
