P	k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
44	0	0	0	-0.81	-0.71	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	1	0	-0.11	-0.08	+0.65	+0.35	+1.00	+0.00	0	0	NaN	1
44	0	2	1	+0.66	+0.70	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	3	1	+0.21	+0.07	+0.36	+0.64	+0.00	+1.00	1	1	NaN	1
44	0	4	1	+0.06	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
44	0	5	0	-0.31	-0.01	+0.53	+0.47	+1.00	+0.00	0	0	NaN	1
44	0	6	1	+0.28	+0.04	+0.42	+0.58	+0.00	+1.00	1	1	NaN	1
44	0	7	1	+0.28	+0.37	+0.03	+0.97	+0.00	+1.00	1	1	NaN	1
44	0	8	0	-0.90	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	9	0	-0.61	-0.61	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	10	0	-0.04	+0.12	+0.27	+0.73	+0.00	+1.00	1	1	NaN	0
44	0	11	0	-0.66	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	12	1	+0.70	+0.77	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	13	1	+0.54	+0.72	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	14	1	+0.34	+0.29	+0.07	+0.93	+0.00	+1.00	1	1	NaN	1
44	0	15	0	-0.58	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
44	0	16	1	+0.03	-0.15	+0.78	+0.22	+1.00	+0.00	0	0	NaN	0
44	0	17	1	+0.96	+0.91	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
44	0	18	1	+0.85	+0.78	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
44	0	19	1	+0.93	+0.70	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	20	0	-0.96	-0.96	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	21	1	+0.27	+0.24	+0.11	+0.89	+0.00	+1.00	1	0	NaN	0
44	0	22	1	+0.55	+0.75	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	23	0	-0.69	-0.87	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	24	1	+0.22	+0.31	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
44	0	25	0	-0.78	-1.13	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	26	1	+0.59	+0.47	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
44	0	27	1	+0.01	+0.08	+0.34	+0.66	+0.00	+1.00	1	1	NaN	1
44	0	28	0	-0.40	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
44	0	29	1	+0.22	+0.26	+0.10	+0.90	+0.00	+1.00	1	0	NaN	0
44	0	30	1	+0.75	+0.46	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
44	0	31	0	-0.47	-0.69	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	32	0	-0.71	-0.94	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	33	0	-0.08	+0.30	+0.07	+0.93	+0.00	+1.00	1	1	NaN	0
44	0	34	0	-1.00	-1.10	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	35	0	-0.55	-0.75	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	36	1	+0.53	+0.67	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	37	1	+0.50	+0.50	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
44	0	38	0	-0.41	-0.47	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
44	0	39	0	-0.42	-0.10	+0.69	+0.31	+1.00	+0.00	0	0	NaN	1
44	0	40	0	-0.64	-0.69	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	41	1	+0.44	+0.45	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
44	0	42	0	-0.63	-0.57	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	43	1	+0.39	+0.32	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
44	0	44	0	-0.06	-0.17	+0.80	+0.20	+1.00	+0.00	0	0	NaN	1
44	0	45	0	-0.48	-0.50	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
44	0	46	0	-0.61	-0.51	+0.99	+0.01	+1.00	+0.00	0	1	NaN	0
44	0	47	0	-0.60	-0.53	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	48	0	-0.40	-0.54	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	49	0	-0.64	-0.61	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	50	1	+0.98	+1.14	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	51	0	-0.13	-0.22	+0.86	+0.14	+1.00	+0.00	0	0	NaN	1
44	0	52	1	+0.29	+0.24	+0.11	+0.89	+0.00	+1.00	1	1	NaN	1
44	0	53	0	-0.49	-0.72	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	54	0	-0.36	-0.31	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
44	0	55	1	+0.91	+0.79	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	56	0	-0.85	-0.84	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	57	0	-0.23	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
44	0	58	0	-0.91	-0.97	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	59	1	+0.59	+0.57	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	60	1	+0.56	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	61	1	+0.93	+1.05	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	62	1	+0.35	+0.40	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
44	0	63	1	+0.67	+0.77	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
44	0	64	1	+0.43	+0.75	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
44	0	65	0	-0.15	-0.16	+0.79	+0.21	+1.00	+0.00	0	0	NaN	1
44	0	66	1	+0.41	+0.39	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
44	0	67	0	-0.42	-0.19	+0.83	+0.17	+1.00	+0.00	0	1	NaN	0
44	0	68	1	+0.99	+0.88	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	69	0	-0.55	-0.71	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	70	1	+0.15	-0.08	+0.65	+0.35	+1.00	+0.00	0	0	NaN	0
44	0	71	0	-0.10	-0.32	+0.94	+0.06	+1.00	+0.00	0	0	NaN	1
44	0	72	0	-0.39	-0.44	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
44	0	73	1	+0.02	+0.15	+0.22	+0.78	+0.00	+1.00	1	1	NaN	1
44	0	74	1	+0.51	+0.10	+0.31	+0.69	+0.00	+1.00	1	1	NaN	1
44	0	75	1	+0.68	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	76	1	+0.28	+0.23	+0.12	+0.88	+0.00	+1.00	1	1	NaN	1
44	0	77	1	+0.47	+0.23	+0.13	+0.87	+0.00	+1.00	1	1	NaN	1
44	0	78	0	-0.22	-0.47	+0.99	+0.01	+1.00	+0.00	0	0	NaN	1
44	0	79	1	+0.41	+0.08	+0.34	+0.66	+0.00	+1.00	1	0	NaN	0
44	0	80	0	-0.02	-0.04	+0.57	+0.43	+1.00	+0.00	0	0	NaN	1
44	0	81	1	+0.09	+0.06	+0.38	+0.62	+0.00	+1.00	1	1	NaN	1
44	0	82	1	+0.91	+0.45	+0.01	+0.99	+0.00	+1.00	1	1	NaN	1
44	0	83	1	+0.48	+0.39	+0.02	+0.98	+0.00	+1.00	1	1	NaN	1
44	0	84	0	-0.09	-0.33	+0.95	+0.05	+1.00	+0.00	0	1	NaN	0
44	0	85	0	-0.50	-0.66	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	86	1	+0.16	+0.11	+0.29	+0.71	+0.00	+1.00	1	1	NaN	1
44	0	87	1	+0.18	-0.23	+0.88	+0.12	+1.00	+0.00	0	0	NaN	0
44	0	88	0	-0.78	-0.34	+0.95	+0.05	+1.00	+0.00	0	0	NaN	1
44	0	89	0	-0.07	+0.25	+0.10	+0.90	+0.00	+1.00	1	1	NaN	0
44	0	90	1	+0.49	+0.44	+0.01	+0.99	+0.00	+1.00	1	0	NaN	0
44	0	91	1	+0.12	-0.03	+0.55	+0.45	+1.00	+0.00	0	0	NaN	0
44	0	92	0	-0.20	-0.12	+0.73	+0.27	+1.00	+0.00	0	0	NaN	1
44	0	93	0	-0.26	+0.04	+0.43	+0.57	+0.00	+1.00	1	1	NaN	0
44	0	94	1	+0.88	+0.91	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	95	0	-0.60	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	96	1	+0.48	+0.72	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	97	0	-0.84	-0.78	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	98	1	+0.12	-0.01	+0.53	+0.47	+1.00	+0.00	0	0	NaN	0
44	0	99	0	-0.82	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	100	0	-0.60	-0.67	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	101	1	+0.38	+0.75	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	102	1	+0.88	+0.86	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	103	0	-0.40	-0.37	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
44	0	104	1	+0.25	+0.08	+0.35	+0.65	+0.00	+1.00	1	1	NaN	1
44	0	105	0	-0.77	-0.92	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
44	0	106	1	+0.22	+0.25	+0.10	+0.90	+0.00	+1.00	1	1	NaN	1
44	0	107	1	+0.15	+0.36	+0.04	+0.96	+0.00	+1.00	1	1	NaN	1
44	0	108	1	+0.31	+0.68	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
44	0	109	0	-0.79	-0.60	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
