k	t	s_t	c_t	o_t	b_t_1	b_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
0	0	0	-0.35	-0.35	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
0	1	1	+0.84	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	2	0	-0.54	-0.43	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
0	3	0	-0.88	-0.85	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	4	1	+0.77	+0.80	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	5	1	+0.28	+0.09	+0.33	+0.67	+0.00	+1.00	1	1	NaN	1
0	6	1	+0.61	+0.32	+0.06	+0.94	+0.00	+1.00	1	1	NaN	1
0	7	1	+0.96	+0.89	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	8	1	+0.48	+0.57	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	9	0	-0.09	-0.21	+0.86	+0.14	+1.00	+0.00	0	0	NaN	1
0	10	1	+0.99	+0.84	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	11	1	+0.19	+0.03	+0.45	+0.55	+0.00	+1.00	1	1	NaN	1
0	12	1	+0.59	+0.80	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	13	1	+0.14	+0.73	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	14	0	-0.83	-0.95	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	15	1	+0.30	+0.27	+0.09	+0.91	+0.00	+1.00	1	1	NaN	1
0	16	0	-0.36	-0.42	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
0	17	0	-0.94	-1.14	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
0	18	1	+0.43	+0.53	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	19	0	-0.96	-0.99	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	20	1	+0.57	+0.78	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	21	0	-0.11	-0.34	+0.96	+0.04	+1.00	+0.00	0	0	NaN	1
0	22	0	-0.80	-1.22	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	23	0	-0.86	-0.79	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	24	1	+0.53	+0.68	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	25	1	+0.25	+0.54	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	26	0	-0.30	-0.09	+0.68	+0.32	+1.00	+0.00	0	0	NaN	1
0	27	0	-0.96	-0.97	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	28	1	+0.95	+0.91	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	29	1	+0.92	+1.07	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	30	0	-0.42	-0.28	+0.92	+0.08	+1.00	+0.00	0	0	NaN	1
0	31	1	+0.46	+0.57	+0.00	+1.00	+0.00	+1.00	1	0	NaN	0
0	32	0	-0.40	-0.82	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	33	1	+0.69	+0.82	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	34	1	+0.02	+0.39	+0.03	+0.97	+0.00	+1.00	1	0	NaN	0
0	35	0	-0.41	-0.39	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
0	36	0	-0.10	-0.38	+0.97	+0.03	+1.00	+0.00	0	0	NaN	1
0	37	1	+0.07	-0.26	+0.90	+0.10	+1.00	+0.00	0	0	NaN	0
0	38	0	-0.86	-0.70	+1.00	+0.00	+1.00	+0.00	0	0	NaN	1
0	39	1	+0.48	+0.32	+0.05	+0.95	+0.00	+1.00	1	1	NaN	1
0	40	1	+0.79	+0.66	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	41	1	+0.90	+0.56	+0.00	+1.00	+0.00	+1.00	1	1	NaN	1
0	42	0	-0.86	-0.75	+1.00	+0.00	+1.00	+0.00	0	1	NaN	0
0	43	1	+0.06	+0.03	+0.44	+0.56	+0.00	+1.00	1	1	NaN	1
0	44	0	-0.48	-0.10	+0.69	+0.31	+1.00	+0.00	0	0	NaN	1
0	45	0	-0.45	-0.42	+0.98	+0.02	+1.00	+0.00	0	0	NaN	1
0	46	1	+0.40	+0.16	+0.22	+0.78	+0.00	+1.00	1	1	NaN	1
0	47	1	+0.03	+0.15	+0.23	+0.77	+0.00	+1.00	1	1	NaN	1
