P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
5	0	0	+0.70	NaN	NaN	NaN	NaN	NaN	0	+1.02	0
5	0	1	+0.70	NaN	NaN	NaN	NaN	NaN	1	+1.56	1
5	0	2	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.66	1
5	0	3	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.55	0
5	0	4	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.98	1
5	0	5	+0.70	NaN	NaN	NaN	NaN	NaN	0	+0.78	0
5	0	6	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.47	1
5	0	7	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.58	0
5	0	8	+0.70	NaN	NaN	NaN	NaN	NaN	0	+1.46	0
5	0	9	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.91	0
5	0	10	+0.70	NaN	NaN	NaN	NaN	NaN	1	+1.23	0
5	0	11	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.82	0
5	0	12	+0.70	NaN	NaN	NaN	NaN	NaN	0	+0.41	1
5	0	13	+0.70	NaN	NaN	NaN	NaN	NaN	0	+0.59	0
5	0	14	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.95	1
5	0	15	+0.70	NaN	NaN	NaN	NaN	NaN	0	+1.51	1
5	0	16	+0.70	NaN	NaN	NaN	NaN	NaN	0	+1.27	1
5	0	17	+0.70	NaN	NaN	NaN	NaN	NaN	0	+1.10	1
5	0	18	+0.70	NaN	NaN	NaN	NaN	NaN	1	+1.20	1
5	0	19	+0.70	NaN	NaN	NaN	NaN	NaN	1	+1.02	1
5	0	20	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.98	1
5	0	21	+0.70	NaN	NaN	NaN	NaN	NaN	0	+0.97	0
5	0	22	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.37	1
5	0	23	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	0	24	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.56	1
5	0	25	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.63	1
5	0	26	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.54	1
5	0	27	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.65	1
5	0	28	+0.70	NaN	NaN	NaN	NaN	NaN	1	+0.63	0
5	0	29	+0.70	NaN	NaN	NaN	NaN	NaN	0	+0.35	0
5	1	0	+0.94	NaN	NaN	NaN	NaN	NaN	0	+0.99	1
5	1	1	+0.94	NaN	NaN	NaN	NaN	NaN	0	+0.50	0
5	1	2	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.30	1
5	1	3	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.48	1
5	1	4	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
5	1	5	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.52	1
5	1	6	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.57	1
5	1	7	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.40	1
5	1	8	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.35	1
5	1	9	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.51	1
5	1	10	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.72	1
5	1	11	+0.94	NaN	NaN	NaN	NaN	NaN	0	+0.90	0
5	1	12	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.49	1
5	1	13	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.60	1
5	1	14	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.57	1
5	1	15	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.80	0
5	1	16	+0.94	NaN	NaN	NaN	NaN	NaN	0	+0.33	0
5	1	17	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.25	1
5	1	18	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.32	1
5	1	19	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.32	1
5	1	20	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.49	0
5	1	21	+0.94	NaN	NaN	NaN	NaN	NaN	0	+0.35	0
5	1	22	+0.94	NaN	NaN	NaN	NaN	NaN	1	+0.26	1
