P	k	t	s_t	alpha_t_1	alpha_t_2	v_t_1	v_t_2	d_t	a_t	rt_t	r_t
21	0	0	+0.76	1	2	+0.50	+0.50	0	0	NaN	0
21	0	1	+0.76	1	3	+0.33	+0.67	1	1	NaN	1
21	0	2	+0.76	1	4	+0.25	+0.75	1	1	NaN	1
21	0	3	+0.76	1	5	+0.20	+0.80	1	1	NaN	1
21	0	4	+0.76	1	6	+0.17	+0.83	1	1	NaN	1
21	0	5	+0.76	1	7	+0.14	+0.86	1	1	NaN	1
21	0	6	+0.76	1	8	+0.12	+0.88	1	1	NaN	1
21	0	7	+0.76	1	9	+0.11	+0.89	1	1	NaN	1
21	0	8	+0.76	1	10	+0.10	+0.90	1	1	NaN	1
21	0	9	+0.76	1	11	+0.09	+0.91	1	1	NaN	1
21	0	10	+0.76	2	11	+0.08	+0.92	1	1	NaN	0
21	0	11	+0.76	2	12	+0.15	+0.85	1	1	NaN	1
21	0	12	+0.76	2	13	+0.14	+0.86	1	1	NaN	1
21	0	13	+0.76	2	14	+0.13	+0.87	1	1	NaN	1
21	0	14	+0.76	2	15	+0.12	+0.88	1	1	NaN	1
21	0	15	+0.76	2	16	+0.12	+0.88	1	1	NaN	1
21	0	16	+0.76	2	17	+0.11	+0.89	1	1	NaN	1
21	0	17	+0.76	2	18	+0.11	+0.89	1	0	NaN	0
21	0	18	+0.76	2	19	+0.10	+0.90	1	1	NaN	1
21	0	19	+0.76	2	20	+0.10	+0.90	1	1	NaN	1
21	0	20	+0.76	2	21	+0.09	+0.91	1	1	NaN	1
21	0	21	+0.76	2	22	+0.09	+0.91	1	1	NaN	1
21	0	22	+0.76	2	23	+0.08	+0.92	1	1	NaN	1
21	0	23	+0.76	2	24	+0.08	+0.92	1	1	NaN	1
21	0	24	+0.76	2	25	+0.08	+0.92	1	1	NaN	1
21	0	25	+0.76	2	26	+0.07	+0.93	1	1	NaN	1
21	0	26	+0.76	2	27	+0.07	+0.93	1	1	NaN	1
21	0	27	+0.76	2	28	+0.07	+0.93	1	1	NaN	1
21	0	28	+0.76	3	28	+0.07	+0.93	1	1	NaN	0
21	0	29	+0.76	3	29	+0.10	+0.90	1	1	NaN	1
21	1	0	+0.37	1	2	+0.50	+0.50	0	0	NaN	0
21	1	1	+0.37	2	2	+0.33	+0.67	1	1	NaN	0
